Title,Author(s),Publish Year,Subjects
Goal-Driven Learning,Ashwin Ram,1994,Artificial intelligence
Instantiating Real-World Agents,"Miller, David",1994,"Robotics, Artificial intelligence"
Reasoning with Diagrammatic Representations,"B. Chandrasekaran, Herbert Simon",1994,"Artificial intelligence, Cognitive science"
Artificial Intelligence for Distributed Information Networking,"Sue Abu-Hakima, Steven Willmott",1999,"Artificial intelligence, Electronic data processing, distributed processing"
Artificial Intelligence for Electronic Commerce,Benjamin Grosof,1999,"Artificial intelligence, Electronic commerce"
Environmental Decision Support Systems and Artificial Intelligence,"Ulises Cortes, Miquel Sanchez-Marre",1999,"Artificial intelligence, Environmental sciences"
Intelligent Software Engineering,"Aditya Ghose, Tim Menzies, Ken Satoh",1999,"Software engineering, Artificial intelligence"
Proceedings of the Seventh International Conference on Intelligent Systems for Molecular Biology,"Thomas Lengauer, Reinhard Schneider, Peer Bork",1999,"Computers, congresses, Artificial intelligence, Molecular biology"
Adaptive User Interfaces,"Seth Rogers, Wayne Iba",2000,"Artificial intelligence, Computer interfaces"
Bringing Knowledge to Business Processes,"Steffen Staab, Daniel E. O'Leary",2000,Artificial intelligence
Using Layout for the Generation Understandings or Retrieval of Documents,Richard Power,2000,"Artificial intelligence, Computers, congresses"
Constraints and AI Planning,Alexander Nareyek,2000,Artificial intelligence
Intelligent Lessons Learned Systems,"David W. Aha, Rosina Weber",2000,Artificial intelligence
Knowledge - Based Electronic Markets,"Tim Finin, Benjamin Grosof",2000,Artificial intelligence
Learning Statistical Models from Relational Data,"Lise Getoor, David Jensen",2000,Artificial intelligence
Representational Issues for Real-World Planning Systems,"Yolanda Gil, Karen L. Myers",2000,Artificial intelligence
Spatial and Temporal Granularity,"Claudio Bettini, Angelo Montanan",2000,Artificial intelligence
Real-Time IoT Imaging with Deep Neural Networks,Nicolas Modrzyk,2020,"Java (computer program language), Artificial intelligence"
2013 IEEE Symposium on Computational Intelligence in Scheduling (CISched 2013),IEEE Symposium on Computational Intelligence in Scheduling (2013 Singapore),2013,"Scheduling, Congresses, Computational intelligence, Artificial intelligence"
"2014 IEEE 11th International Conference on Networking, Sensing and Control (ICNSC 2014)","IEEE International Conference on Networking, Sensing, and Control (11th 2014 Miami, Fla.)",2014,"Control theory, Congresses, Mobile communication systems, Transportation, Computer networks, Detectors, Artificial intelligence"
Mastering Ai Programming,"George Luger, William A. Stubblefield",2007,Artificial intelligence
Vegas Was Her Name,Jonathan Sturak,2013,"Fiction, thrillers, general, Fiction, suspense, Las vegas (nev.), fiction, Artificial intelligence, Fiction, Swindlers and swindling, Marriage, Fiction, thrillers, suspense"
Particle of Life,Michail Zak,2014,"Artificial intelligence, Self-organizing systems, Life (biology), Human information processing, Intellectual life, Quantum theory, Life (Biology), Mathematical models"
AI and Machine Learning for Coders,Laurence Moroney,2020,"Information theory, Machine theory, Natural language processing (computer science), Computer programming, Machine learning, Artificial intelligence"
Robust Autonomy,"Ella M. Atkins, Lorraine M. Fesq",2002,Artificial intelligence
Proceedings of the Sixth International Conference on Artificial Intelligence Planning Systems,"Malik Ghallab, Joachim Hertzberg, Paolo Traverso",2002,Artificial intelligence
Proceedings of the Fifteenth International Florida Artificial Intelligence Research Society Conference,"Fla.) Florida Ai Research Symposium 2002 (Pensacola Beach, Susan Haller, Gene Simmons",2001,"Artificial intelligence, Congresses"
Proceedings of the Thirteenth Conference on Innovative Applications of Artificial Intelligence : (IAAI-01),,2001,Artificial intelligence
Mining Answers from Texts and Knowledge Bases,"Sanda M. Harabagiu, Vinay Chaudhri",2002,"Artificial intelligence, Questions and answers"
Planning with and for Multiagent Systems,"Michael Brenner, Marie des Jardins",2002,Artificial intelligence
Preferences in AI and CP,Ulrich Junker,2002,Artificial intelligence
Chance Discovery : Papers from the 2002 Fall Symposium,"Peter McBurney, Yukio Ohsawa, Simon Parsons",2002,"Decision making, System analysis, Artificial intelligence"
Moral Responsibility in the Twenty Hb,ROACH ECKERT,2020,"Artillery, Military weapons, Technological innovations, Moral and ethical aspects, Weapons systems, Artificial intelligence, Military robotics, Just war doctrine"
Machines That Think,New Scientist Staff,2017,"Artificial intelligence, Robotics, Popular works"
Natural Computing,"Andrew Adamatzky, Masami Hagiya, Hiroshi Umeo, Yasuhiro Suzuki",,"Computer scientists, Artificial intelligence, Electronic data processing"
Advances in Machine Learning Research,Sharad Shandilya,2014,"Machine learning, Artificial intelligence"
Neural Network Driven Artificial Intelligence,"Bahman Zohuri, Masoud Moghaddam",2017,"Neural networks (computer science), Artificial intelligence"
Applications Fuzzy Logic,Mohammad Jamshidi,1997,"Intelligent control systems, Fuzzy logic, Artificial intelligence"
Complex Systems,"Dattan Godbole, Shankar S. Sastry, Lygeros",2001,"Computational complexity, Artificial intelligence"
Advances in Artificial Intelligence,"Richard Khoury, Christopher Drummond",2016,Artificial intelligence
Focus on Swarm Intelligence Research and Applications,"Bachir Benhala, Pedro Pereira, Amin Sallem",2017,Artificial intelligence
Artificial Intelligence,"Luis Rabelo, Sayli Bhide, Edgar Gutierrez",2017,Artificial intelligence
Programmation en Prolog pour l'intelligence artificielle,Ivan Bratko,1988,"Informatique, Programmation, Prolog (langage de programmation), Prolog (Computer program language), Prolog (Langage de programmation), Artificial intelligence, Intelligence artificielle"
Algorithmic Equity,"Osonde A. Osoba, Benjamin Boudreaux, Jessica Saunders, J. Luke Irwin, Pam A. Mueller",2019,"Artificial intelligence, Algorithms, Fairness"
Intellektualʹnye t͡s︡ifrovye seti,V. G. Lazarev,1996,"Handbooks, manuals, Electronic data processing, Distributed processing, Artificial intelligence"
Practitioner's Guide to Graph Data,"Matthias Broecheler, Denise Gosnell",2020,"Data mining, Information visualization, Artificial intelligence"
Knowledge Engineering,Alfonso Perez Gama,2015,"Expert systems (computer science), Artificial intelligence, Education, higher, Expert systems (Computer science), Higher Education, Effect of technological innovations on"
Artificial Intelligence in Thermal Systems Design,"Enrico Sciubba, Roberto Melli",1998,"Heat engineering, Computer-aided design, Artificial intelligence, Data processing"
An Introduction to Harmony Search Optimization Method,"Xiaolei Wang, Xiao-Zhi Gao, Kai Zenger",2014,"Computational intelligence, Artificial intelligence"
"Seventh International Conference on Mathematical Problems in Engineering, Aerospace, and Sciences","International Conference on Mathematical Problems in Engineering, Aerospace and Sciences (7th 2008 Genoa, Italy)",2009,"Aeronautics, Aerodynamics, Neural networks (Computer science), Congresses, Mathematics, Nonlinear theories, Artificial intelligence, Aerospace engineering"
Programming in ROSIE,,1982,"ROSIE (Computer system), Artificial intelligence, Data processing"
Ėksperimentalʹnai︠a︡ informatika,A. P. Ershov,1981,"Information theory, Electronic data processing, Artificial intelligence, Programming languages (Electronic computers)"
Modelirovanie metrologicheskikh kharakteristik intellektualʹnykh izmeritelʹnykh priborov i sistem,V. P. Shevchuk,2011,"Measuring instruments, Engineering applications, Artificial intelligence"
"Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management. Human Communication, Organization and Work",Vincent G. Duffy,2020,"Artificial intelligence, Expert systems (computer science), User interfaces (computer systems)"
AI*IA 2018 – Advances in Artificial Intelligence,"Chiara Ghidini, Bernardo Magnini, Andrea Passerini, Paolo Traverso",2018,Artificial intelligence
Intelligent image and video interpretation,"Jing Tian, Li Chen",2013,"Digital images, Image processing, Digital video, Image analysis, Artificial intelligence, Research, Image processing, digital techniques, Imaging systems"
Learning and Collaboration Technologies. Human and Technology Ecosystems,"Panayiotis Zaphiris, Andri Ioannou",2020,"Artificial intelligence, Human-computer interaction, User interfaces (computer systems)"
Deus ex machina sapiens,David Ellis,2011,Artificial intelligence
Eleventh Scandinavian Conference on Artificial Intelligence,Norway) Scandinavian Conference on Artificial Intelligence (11th 2011 Trondheim,2011,"Congresses, Artificial intelligence"
From animals to animats 5,International Conference on Simulation of Adaptive Behavior (5th 1998 University of Zurich),1998,"Congresses, Simulation methods, Animal behavior, Animals, Robotics, Adaptation, Artificial intelligence, Biological applications"
Psikhiatricheskai︠a︡ lingvistika,V. Ė. Pashkovskiĭ,2013,"Language disorders, Psycholinguistics, Artificial intelligence, Semiotics"
Robo- and informationethics,"Michael P. Decker, Mathias Gutmann",2012,"Autonomous robots, Technology, Moral and ethical aspects, Artificial intelligence, Congresses, Information technology, Robots"
Predstavlenie znaniĭ i modelirovanie prot︠s︡essa ponimanii︠a︡,,1980,"Cognition, Computer simulation, Artificial intelligence, Neural computers"
Advances in abstract intelligence and soft computing,Yingxu Wang,2013,"Soft computing, Artificial intelligence, Software engineering"
Robots in Law,Joanna Goodman,2016,"Artificial intelligence, Law offices, Legal research, data processing, Automation, Legal research, Data processing, Cabinets d'avocat, Automatisation, Intelligence artificielle, Droit, Recherche documentaire, Informatique"
Künstliche Intelligenz und natürliche Sprache,Hans-Dieter Lutz,1979,Artificial intelligence
Man the machine,F. H. George,1979,"Cybernetics, Artificial intelligence"
Advances in natural language processing,Luc Steels,1976,"Natural language processing (Computer science), Congresses, Formal languages, Artificial intelligence"
"Biologically inspired cognitive architectures, 2011",BICA Society. Meeting,2011,"Biologically-inspired computing, Congresses, Artificial intelligence, Electronic data processing"
Linguistische Datenverarbeitung,István Bátori,1982,"Linguistics, Congresses, Data processing, Artificial intelligence, Information storage and retrieval systems, Computational linguistics"
Narzędzia informatyczne w gospodarce elektronicznej i systemach wspomagania decyzji,Leszek Kiełtyka,2011,"Decision support systems, Information technology, Artificial intelligence, Management information systems"
The artificial intelligence revolution,Louis Anthony Del Monte,2013,"Artificial intelligence, Computers and civilization"
"Kultur, Politik, Musik, Revolutionäres, Historisches, Literarisches",Werner DePauli-Schimanovich,2007,"Politics and government, European federation, Civilization, Artificial intelligence, Songs and music"
PRINCIPLES OF QUANTUM ARTIFICIAL INTELLIGENCE,ANDREAS WICHERT,2013,"Quantum computers, Artificial intelligence, Artificial Intelligence, Intelligence artificielle, COMPUTERS, Computer Literacy, Computer Science, Data Processing, Hardware, General, Information Technology, Machine Theory, Reference"
Passive and Active Measurement,"Anna Sperotto, Alberto Dainotti, Burkhard Stiller",2020,"Expert systems (computer science), Information technology, Artificial intelligence, Computer security"
Engineering Multi-Agent Systems,"Louise A. Dennis, Rafael H. Bordini, Yves Lespérance",2020,"Computer software, development, Information technology, Expert systems (computer science), Operating systems (computers), Artificial intelligence"
Kompʹi︠u︡ternye tekhnologii v razvitii muzykalʹnoĭ odarennosti deteĭ i i︠u︡noshestva,"Russia) Vserossiĭskai︠a︡ nauchno-prakticheskai︠a︡ konferent︠s︡ii︠a︡ ""Kompʹi︠u︡ternye tekhnologii v razvitii muzykalʹnoĭ odarennosti deteĭ i i︠u︡noshestva"" (2012 Moscow",2012,"Educational applications, Congresses, Artificial intelligence, Data processing, Instruction and study, Music"
Logic and Argumentation,"Mehdi Dastani, Huimin Dong, Leon van der Torre",2020,Artificial intelligence
Human and artificial intelligence,Friedhart Klix,1978,"Artificial intelligence, Problem solving"
An Introduction to artificial intelligence and expert systems,American Institute of Certified Public Accountants,1987,"Expert systems (Computer science), Artificial intelligence"
"7th International Conference on Intelligent Systems and Control (ISCO 2013), January 04-05, 2013, Coimbatore, Tamilnadu, India",India) International Conference on Intelligent Systems and Control (7th 2013 Coimbatore,2013,"Intelligent control systems, Expert systems (Computer science), Congresses, Artificial intelligence, Green technology"
"AI, graphics, and simulation",,1985,"Congresses, Digital computer simulation, Computer graphics, Artificial intelligence"
Chishiki kōgaku,,1987,"Artificial intelligence, Expert systems (Computer science), Information storage and retrieval systems"
Chinō robotto-dokuhon,,,"Industrial Robots, Robotics, Artificial intelligence"
Intelligenza artificiale e scienze sociali,Massimo Negrotti,1984,"Information theory in the social sciences, Congresses, Cybernetics, Artificial intelligence"
Jōhō shisutemu to shite no ningen,"Ishii, Takemochi",1984,"Human information processing, Artificial intelligence"
A quoi rêvent les robots?,Jean-Pierre Petit,1982,"Juvenile literature, Robotics, Artificial intelligence"
"Run, robot, run",Jean-Pierre Petit,1985,"Cartoons and comics, Robotics, Juvenile literature, Artificial intelligence, Robots"
Asu no konpyūtā ni nani o motomeru no ka,NHK Shuzaihan,,"Comuputers, Artificial intelligence, Research"
Advances in Intelligent Systems,"International Conference on Advances in Intelligent Systems in Bioinformatics, Chem-Informatics, Business Intelligence, Social Media and Cybernetics (2013 Jakarta, Indonesia)",2014,"Congresses, Artificial intelligence"
Künstliche Intelligenz,,1987,"Artificial intelligence, Data processing"
Reasoning about actions & plans,"Michael Georgeff, Amy Lansky",1987,"Congresses, Artificial intelligence, Problem solving"
Application of artificial intelligence to command & control systems,"Harris, C. J.",1988,"Command and control systems, Artificial intelligence, Military applications"
Knowledge systems,Ronald A. Morse,1984,"Congresses, Artificial intelligence"
Artificial intelligence,,1984,"Office practice, Artificial intelligence, Automation"
De Informatiemaatschappij,,1983,"Microelectronics, Artificial intelligence, Information technology"
Le robot pensant,Marie-Noëlle Himbert,2012,"Autonomous robots, Androids, Artificial intelligence, Robotics"
Prefoldins,Nabil Djouder,2018,"Diagnosis, Artificial intelligence"
Jinkō chinō bijinesu,,,"Expert systems (Computer science), Computer service industry, Artificial intelligence, Telecommunication"
La casa automática,Marco Antonio Marcos Fernandez,2015,"Artificial intelligence, Fiction"
Chinō robotto,,,"Robotics, Artificial intelligence, Computers"
Artificial Intelligence,Johannes Retti,1984,Artificial intelligence
Jinkō chinō to chishiki shori,Tetsuo Kinoshita,2014,"Textbooks, Artificial intelligence"
Baiokonpyūta,Tsuguchika Kaminuma,1985,"Biotechnology, Popular works, Artificial intelligence, Supercomputers"
Artificial intelligence for military applications,"Barry G. Silverman, William P. Hutzler",1986,"Artificial intelligence, Military applications"
Artificial General Intelligence,Switzerland) AGI Conference (3rd 2010 Lugano,2010,"Congresses, Artificial intelligence"
Ji suan ji sheng cheng bing li zhi neng jue ce fang fa ji qi ying yong,Ruiping Yang,2011,"Computer simulation, Decision making, Artificial intelligence, Military readiness, Military policy, Armed Forces"
After Leibniz ...,,1974,"Philosophy, Data processing, Artificial intelligence, Meaning (Philosophy)"
Characterising action potential in virtual game worlds applied with the mind module,Mirjam Palosaari Eladhari,2011,"Intelligent agents (Computer software), Service-oriented architecture (Computer science), Simulation methods, Virtual reality, Artificial intelligence, Electronic games"
Ji yu sheng wu wang luo de zhi neng kong zhi yu you hua,Yongsheng Ding,2010,"Mathematical models, Biology, Computational biology, Neural networks (Computer science), Artificial intelligence"
Shen jing ji suan yu sheng zhang zi zu zhi wang luo,Guojian Cheng,2008,"Neural networks (Computer science), Artificial intelligence"
Xian dai dian li xi tong bian shi ren gong zhi neng fang fa,Qian Ai,2013,"Electric power systems, Mathematical models, Automatic control, Data processing, Artificial intelligence"
Iskusstvennyĭ intellekt i ėkspertnye sistemy, Nikolaĭ Grigorʹevich Zagoruĭko,1997,"Expert systems (Computer science), Artificial intelligence, Mathematics"
Interactive Storytelling,"Nuno Nunes, Ian Oakley, Valentina Nisi",2017,"Interactive multimedia, Artificial intelligence, Virtual reality, Human-computer interaction, Computer science"
Hands-On Artificial Intelligence for Banking,"Jeffrey Ng CFA, Subhash Shah",2020,"Natural language processing (computer science), Neural networks (computer science), Artificial intelligence"
Ji yu wang luo de she ji zhi zao ji zhi neng ji cheng,Jinan Gu,2011,"Business enterprises, Computer-aided design, Artificial intelligence, Computer networks, Computer integrated manufacturing systems, Manufacturing processes, Automation"
Proceedings of the Fifth Euro-China Conference on Intelligent Data Analysis and Applications,"Pavel Krömer, Hong Zhang, Yongquan Liang, Jeng-Shyang Pan",2018,"Computational intelligence, Artificial intelligence"
Machine Learning in the Oil and Gas Industry,"Yogendra Narayan Pandey, Ayush Rastogi, Sribharath Kainkaryam, Srimoyee Bhattacharya, Luigi Saputelli",2020,"Python (computer program language), Open source software, Artificial intelligence"
From Animals to Animats 14,"Elio Tuci, Alexandros Giagkos, Myra Wilson, John Hallam",2016,"Animal behavior, Robotics, Artificial intelligence, Computer vision"
"""New generation"" knowledge engineering",International Association of Knowledge Engineers. Symposium,1992,"Congresses, Expert systems (Computer science), Artificial intelligence"
Beyond humanity,Gregory S. Paul,1996,"Philosophy, Social aspects, Social aspects of Technology, Computers, Computers and civilization, Modern Civilization, Cybernetics, Civilization, Modern, Technology, Artificial intelligence"
Information Security and Assurance,"Samir Kumar Bandyopadhyay, Wael Adi, Tai-hoon Kim, Xiao, Yang",2010,"Artificial intelligence, Computer networks, Data encryption (computer science)"
Artificial intelligence technologies and the evolution of Web 3.0,Tomayess Issa,2015,"Web databases, Semantic Web, Educational Web sites, Artificial intelligence, World wide web, Databases"
Le concept de preuve à la lumière de l'intelligence artificielle,Jean-Jacques Szczeciniarz,1999,"Proof theory, Artificial intelligence"
Emerging Technologies,Errol van Engelen,2020,"Business, Artificial intelligence, Blockchains (Databases), Internet of things, Artificial Intelligence, Intelligence artificielle, Chaînes de blocs, Internet des objets"
Modern Computational Intelligence Methods for the Interpretation of Medical Images,Ryszard Tadeusiewicz,2014,"Diagnostic imaging, Artificial intelligence"
"9th International Conference on Mathematical Problems in Engineering, Aerospace and Sciences",Austria) International Conference on Mathematical Problems in Engineering and Aerospace Sciences (9th 2012 Vienna,2012,"Aeronautics, Aerodynamics, Neural networks (Computer science), Congresses, Mathematics, Nonlinear theories, Artificial intelligence, Aerospace engineering"
Machine intelligence and robotics,United States. National Aeronautics and Space Administration,1980,"Robotics, Artificial intelligence, Machine theory, Robots"
Advances in Practical Applications of Scalable Multi-agent Systems. The PAAMS Collection,"Yves Demazeau, Takayuki Ito, Javier Bajo, Maria José Escalona",2016,"Artificial intelligence, Computer simulation"
Zhi neng hua wu ren zuo zhan xi tong,Congrong Lin,2008,"Data processing, Military applications, Expert systems (Computer science), Military art and science, Artificial intelligence, Automation"
Artificial intelligence,Alan Bundy,1978,Artificial intelligence
FLAIRS-98,"Florida AI Research Symposium (11th 1998 Sanibel Island, Fla.)",1998,"Congresses, Artificial intelligence"
Proceedings of the 8th IEEE International Conference on Cognitive Informatics,IEEE International Conference on Cognitive Informatics (8th 2009 Hong Kong Polytechnic University),2009,"Cognitive science, Congresses, Artificial intelligence, Neural computers"
Le renseignement high-tech,Gérard Desmaretz,2010,"Technological innovations, National security, Electronic surveillance, Electronic intelligence, Information storage and retrieval systems, Intelligence service, Artificial intelligence, Data processing, Military applications, Military art and science, Espionage, Military intelligence, Electronics in military engineering"
Introduction to Machine Learning (Research Notes in Artificial Intelligenc),Yves Kodratoff,1989,Artificial intelligence
Problemy intellektualizat︠s︡ii i kachestva sistem informatiki = Problems of intellectualization and quality of informatics systems,V. N. Kasʹi︠a︡nov,2006,"Quality control, Artificial intelligence, Computer software"
Kompliziertheit von Lern- und Erkennungsprozessen,,1975,"Machine theory, Congresses, Symbolic and mathematical Logic, Artificial intelligence"
Artificial intelligence and language comprehension,National Institute of Education (U.S.),1976,"Verbal learning, Computer-assisted instruction, Comprehension, Data processing, Psycholinguistics, Artificial intelligence, Computational linguistics"
Chatten mit Eliza,Dieter Huber,2010,"Interactive computer systems, Artificial intelligence"
Artificial Intelligence,"Alice M. Roberts, Michael Woolridge",2018,Artificial intelligence
Machine learning for protein subcellular localization prediction,Shibiao Wan,2015,"Artificial Intelligence, Probability, Protein Transport, Probabilities"
Ce shi zhi neng xin xi chu li,Xue Wang,2008,"Artificial intelligence, Data processing, Fuzzy mathematics"
Zhong yi bian zheng de ji qi tui yan,Changle Zhou,2009,"Chinese Medicine, Differential Diagnosis, Artificial intelligence"
Technologies de l'information et intelligences collectives,"Brigitte Juanals, Jean-Max Noyer",2010,"Communication, Semantic Web, Technological innovations, Information technology, Artificial intelligence"
"Künstliche Intelligenz, Bewusstsein und Sprache",Martin Dresler,2009,"Philosophy, Artificial intelligence, Language and languages, Machine learning"
Computational models of argument,Italy) COMMA (Conference) (3rd 2010 Desenzano del Garda,2010,"Computer simulation, Congresses, Reasoning, Artificial intelligence"
International Conference on Artificial Intelligence and Computational Intelligence,China) International Conference on Artificial Intelligence and Computational Intelligence (2010 Sanya Shi,2010,"Congresses, Computational intelligence, Artificial intelligence"
Biologically inspired cognitive architectures 2010,BICA Society. Annual Meeting,2010,"Congresses, Biologically-inspired computing, Artificial intelligence, Data processing"
Intelligent system and applied material,China) International Conference on Intelligent System and Applied Material (2012 Taiyuan,2012,"Smart materials, Congresses, Computational intelligence, Artificial intelligence"
Generalized nets in artificial intelligence,Stefka Fidanova,2011,"Graph theory, Artificial intelligence"
Metody ėvoli︠u︡t︠s︡ionnoĭ informatiki v sistemakh iskusstvennogo intellekta,N. V. Slept︠s︡ov,2010,"Evolutionary programming (Computer science), Evolutionary computation, Artificial intelligence"
Think for Yourself,Vikram Mansharamani,2020,"Philosophy, Common sense, Critical thinking, Self-reliance, Computers and civilization, Artificial intelligence, BUSINESS & ECONOMICS / Leadership"
Neural Generation of Textual Summaries from Knowledge Base Triples,P. Vougiouklis,2020,Artificial intelligence
What Computers Still Can't Do,Hubert L. Dreyfus,1992,"artificial intelligence, cognitive simulation, human information processing, phenomenology, problem solving"
Toward Artificial Sapience,"Rene V. Mayorga, Leonid Perlovsky",2010,"Soft computing, Artificial intelligence"
Efficient Frequent Subtree Mining Beyond Forests,P. Welke,2020,Artificial intelligence
Artificial Intelligence Driven by a General Neural Simulation System (Genesis),"Bahman Zohuri, Masoud Moghaddam",2018,"Neural networks (computer science), Artificial intelligence"
Platform Ontologies for the Model-Driven Architecture,Dennis Wagelaar,2009,"Artificial intelligence, Computer software, development, Computer architecture"
Unlocking Consciousness,Charles Ross,2018,"Artificial intelligence, Cognitive science, Cognitive neuroscience, Conscious automata, Consciousness"
Relating to Things,Heather Wiltse,2020,"Design and technology, Technology, Social aspects, Human-computer interaction, Artificial intelligence"
AI Ladder,"Rob Thomas, Paul Zikopoulos",2020,"New business enterprises, Machine theory, Neural networks (computer science), Artificial intelligence"
Extending Theories of Action : Formal Theory and Practical Applications,Craig Boutilier,1995,Artificial intelligence
Empirical Methods in Discourse : Interpretation and Generation,Marilyn Walker,1995,Artificial intelligence
Representing Mental States and Mechanisms,"Michael T. Cox, Michael Freed",1995,Artificial intelligence
Lessons Learned from Implemented Software Architectures for Physical Agents,"Henry Hexmoor, David Kortenkamp",1995,Artificial intelligence
Computational Organization Design,,1994,Artificial intelligence
Decision-Theoretic Planning,Steve Hanks,1994,Artificial intelligence
Models of Conflict Management in Cooperative Problem Solving,"Mark Klein, Susan Lander",1994,"Artificial intelligence, Group problem solving"
Control of the Physical World by Intelligent Agents,Benjamin Kuipers,1994,"Artificial intelligence, Intelligent agents (computer software)"
"Proceedings, the First Artificial Intelligence and Interactive Digital Entertainment Conference",,2005,"Artificial intelligence, Digital electronics"
Craig Kalpakjian,Craig Kalpakjian,2020,"Catalogs, Artistic Photography, Artificial intelligence, Installations (Art)"
Advances in Machine Learning and Computational Intelligence,"Srikanta Patnaik, Xin-She Yang, Ishwar K. Sethi",2020,"Artificial intelligence, Engineering"
Internet of Vehicles. Technologies and Services for Smart Cities,"Sheng-Lung Peng, Guan-Ling Lee, Reinhard Klette, Ching-Hsien Hsu",2017,"Information storage and retrieval systems, Artificial intelligence"
Hōritsu jinkō chinō,Hajime Yoshino,2000,"Legal research, Law, Information storage and retrieval systems (Law), Data processing, Artificial intelligence"
Innovations and Interdisciplinary Solutions for Underserved Areas,"Jessica P. R. Thorn, Assane Gueye, Adam P. Hejnowicz",2020,"Computer security, Artificial intelligence"
Brain Informatics,"Shouyi Wang, Vicky Yamamoto, Jianzhong Su, Yang Yang, Erick Jones, Leon Iasemidis, Tom Mitchell",2018,"Neural networks (computer science), Human information processing, Artificial intelligence"
Proceedings of the Thirteenth International Florida Artificial Intelligence Research Society Conference,"Fla.) Florida Ai Research Symposium 2000 (Orlando, Jim Etheredge, Bill Manaris",2000,"Artificial intelligence, Congresses"
Midwest AI and Cognitive Science Conference (II),Douglas Blank,2000,"Artificial intelligence, Cognitive science, Congresses"
Learning How to Do Things,"Mathias Bauer, Charles Rich",2000,Artificial intelligence
Simulating Human Agents,Michael Freed,2000,Artificial intelligence
Eighth AAAI Mobile Robot Competition,Alan C. Schultz,2000,Artificial intelligence
Proceedings of the Twenty-First International Conference on Automated Planning and Scheduling (ICAPS-11),"Fahiem Bacchus, Carmel Domshlak, Stefan Edelkamp, Malte Helmert",2011,"Artificial intelligence, Planning"
Proceedings of the Twenty-Fourth International Florida Artificial Intelligence Research Society Conference CD-ROM (FLAIRS-11),"R. Charles Murray, Philip M. McCarthy",2011,Artificial intelligence
Proceedings of the Twenty-Fourth International Florida Artificial Intelligence Research Society Conference (FLAIRS-11),"R. Charles Murray, Philip M. McCarthy",2011,Artificial intelligence
Artificial Intelligence and Sustainable Design,"Douglas Fisher, Mary Lou Maher",2011,"Artificial intelligence, Design"
Computational Physiology,"Mark Buller, Paul Cuddihy, Finale Doshi-Velez",2011,"Artificial intelligence, Medicine, congresses"
Help Me Help You,"Rajiv Maheswaran, Nathan Schurr, Pedro Szekely",2011,"Human-computer interaction, Robotics, Artificial intelligence"
Logical Formalizations of Commonsense Reasoning,"Ernest Davis, Patrick Doherty, Esra Erdem",2011,"Artificial intelligence, Reasoning"
Artificial Intelligence and Smarter Living : Papers from the AAAI Workshop,"Benjamin Johnston, Mary-Anne Williams",2011,Artificial intelligence
Artificial Intelligence for Data Center Management and Cloud Computing,"Donagh Buckley, Burt Kaliski, Barry O'Sullivan",2011,"Artificial intelligence, Electronic data processing departments, management"
Computational Models of Natural Argument,"Floriana Grasso, Nancy Green, Chris Reed",2011,Artificial intelligence
Language-Action Tools for Cognitive Artificial Agents,"Katerina Pastra, Yiannis Aloimonos",2011,Artificial intelligence
Proceedings of the Twenty-Second International Florida Artificial Intelligence Research Society Conference (FLAIRS-09),"H. Chad Lane, Hans W. Guesgen",2009,"Artificial intelligence, Congresses, Research"
Proceedings of the Twenty-Second International Florida Artificial Intelligence Research Society Conference CD-ROM (FLAIRS-09),"H. Chad Lane, Hans W. Guesgen",2009,Artificial intelligence
Pattern Recognition and Classification in Time Series Data,"Eva Volna, Martin Kotyrba, Michal Janosek",2016,"Pattern perception, Artificial intelligence, Algorithms, Time-series analysis"
97 Things about Ethics Everyone in Data Science Should Know,Bill Franks,2020,"Business ethics, Artificial intelligence, Data mining, Internet, security measures"
Prime,Nate Kenyon,2009,"Cyborgs, Computer programmers, Artificial intelligence, Fiction"
IT Revolutions,"Matias Linan Reyes, Jose M. Flores Arias, Juan J. Gonzalez de la Rosa, Josef Langer, Francisco J. Bellido Outeirino, Antonio Moreno-Muñoz",2012,"Information technology, Internet, Artificial intelligence, Human-computer interaction"
Perspectives on big data analysis,Québec) International Workshop on Perspectives on High-Dimensional Data Analysis (2nd 2012 Montréal,2014,"Multivariate analysis, Congresses, Artificial intelligence, Big data, Computer science -- Artificial intelligence -- None of the above, but in this section, Statistics -- Multivariate analysis -- Factor analysis and principal components; correspondence analysis, Statistics -- Linear inference, regression -- Ridge regression; shrinkage estimators, Statistics -- Parametric inference -- Asymptotic properties of tests, Statistics -- Nonparametric inference -- Estimation, Statistics -- Inference from stochastic processes -- Markov processes: estimation, Statistics -- Nonparametric inference -- Nonparametric regression, Probability theory and stochastic processes, Statistics -- Nonparametric inference -- None of the above, but in this section, Statistics -- Multivariate analysis -- Hypothesis testing, Computer science, Statistics"
"AI, jōhō shori kara chinō shori e",,,"Electronic data processing, Artificial intelligence"
Umělá inteligence,V. Mařík,1993,"Artificial intelligence, Research"
Artificial intelligence and applied cybernetics,A. Ghosal,1989,"Congresses, Cybernetics, Artificial intelligence"
Use and application of expert systems and artificial intelligence,International Iron and Steel Institute. Committee on Technology,1988,"Steel industry and trade, Data processing, Expert systems (Computer science), Industrial applications, Artificial intelligence"
Artificial intelligence research papers,,1987,"Bibliography, Catalogs, Artificial intelligence"
Artificial intelligence memoranda,,1983,"Bibliography, Catalogs, Artificial intelligence"
